Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
08/23/2024,Friday,55,Wifi,Housing,Debit,Need
08/23/2024,Friday,10.81,Uber,Travel,Debit,Want
08/23/2024,Friday,20,Bart,Travel,Debit,Need
08/23/2024,Friday,20,Bart,Travel,Debit,Need
08/23/2024,Friday,5,Bart,Travel,Debit,Need
08/23/2024,Friday,14,Fernet,Food,Debit,Want
08/26/2024,Monday,5.05 ,Bart,Travel,Debit,Need
08/26/2024,Monday,11.72,Uber,Travel,Debit,Want
08/26/2024,Monday,16,parking,Travel,Debit,Need
08/27/2024,Tuesday,2.30,Bart,Travel,Debit,Need
08/27/2024,Tuesday,9.74,Uber,Travel,Debit,Want
08/28/2024,Wednesday,20,Bart,Travel,Debit,Need
08/28/2024,Wednesday,10,Bart,Travel,Debit,Need
08/30/2024,Friday,3239.09,rent,Housing,Debit,Need
08/30/2024,Friday,20,Bart,Travel,Debit,Need
08/30/2024,Friday,10,Bart,Travel,Debit,Need
08/30/2024,Friday,22.06,Apple ,Bills,Debit,Want
08/30/2024,Friday,300,money in ,Financial goals and Savings,Debit,Savings
08/30/2024,Friday,80,payment credit card,Bills,Debit,Need
09/02/2024,Monday,4.85,water,Food,Debit,Want
09/02/2024,Monday,20,Bart,Travel,Debit,Need
09/02/2024,Monday,150,stock,Financial goals and Savings,Debit,Savings
09/02/2024,Monday,2.99,Apple ,Bills,Debit,Need
09/03/2024,Tuesday,54.81,supplies,Financial goals and Savings,Debit,Savings
09/04/2024,Wednesday,20,saving,Financial goals and Savings,Debit,Savings
09/04/2024,Wednesday,14.34,uber,Travel,Debit,Want
