US_graduation,residency,GPA,Age
,,,
No,Resident,4,19
Yes,Resident,4,23
No,International,3.54,22
No,International,3.36,21
Yes,Resident,3,32
Yes,International,3.81,21
Yes,Resident,3.6,21
Yes,Resident,4,18
No,Resident,3.96,27
No,International,4,18
No,International,3.01,19
Yes,International,3.7,39
No,International,4,24
Yes,Resident,3.09,21
Yes,International,3.9,19
Yes,Resident,3.66,20
Yes,Resident,4,18
No,International,3.8,20
Yes,International,3.56,19
Yes,Resident,4,18
Yes,Resident,3.6,26
Yes,Resident,3.7,24
Yes,International,3.6,25
Yes,Resident,3.92,19
Yes,Resident,3.7,20
Yes,Resident,4,40
Yes,Resident,2.56,21
Yes,Resident,3,20
Yes,Resident,2.5,19
Yes,Resident,2.6,19
Yes,Resident,3,19
Yes,Resident,3.08,19
Yes,Resident,2.81,22
Yes,International,3.95,19
No,International,3.57,20
Yes,Resident,3.89,18
Yes,Resident,3.68,21
Yes,International,3.5,21
Yes,Resident,1.8,19
Yes,Resident,3.5,31
Yes,Resident,2.9,19
Yes,Resident,4,18
Yes,Resident,3.67,19
Yes,Resident,3.75,20
Yes,Resident,3,21
Yes,Resident,4,18
Yes,Resident,4,18
Yes,Resident,3.2,19
Yes,Resident,3.69,19
Yes,Resident,3.2,18
No,International,2.5,23
Yes,Resident,3.24,39
Yes,Resident,3.7,19
Yes,Resident,3.75,20
Yes,Resident,3,21
Yes,International,3.84,18
Yes,Resident,3,18
Yes,Resident,2.9,20
No,International,2.45,19
Yes,Resident,3.97,19
Yes,Resident,4,19
